Gemeinde,Verwaltungskreis,Disparitätenabbau,Mindestausstattung,Pauschale Abgeltung,Geo-topo Zuschuss,Sozio-demo Zuschuss
Ostermundigen,Bern-Mittelland,590733.377150214,0,0,0,304914
Bangerten,Seeland,29946.2509342402,0,0,30435,1177
Bätterkinden,Emmental,372490.709479606,0,0,0,27514
Büren z.H.,Bern-Mittelland,47259.510487332,0,0,1749,1570
Deisswil b.M.,Bern-Mittelland,-22794.5767690588,0,0,37822,318
Diemerswil,Bern-Mittelland,-13455.5093487199,0,0,24612,477
Etzelkofen,Bern-Mittelland,1748.68328919218,0,0,16147,1529
Fraubrunnen,Bern-Mittelland,62916.5314456524,0,0,0,10989
Grafenried,Bern-Mittelland,-2334.47154407203,0,0,0,4550
Jegenstorf,Bern-Mittelland,-215779.81007964,0,0,0,38422
Iffwil,Bern-Mittelland,60040.5117840983,0,0,56391,1498
Limpach,Bern-Mittelland,76402.4165118206,14251,0,17867,1837
Mattstetten,Bern-Mittelland,-69945.0969588994,0,0,20324,3176
Moosseedorf,Bern-Mittelland,-275382.118041489,0,0,0,56258
Mülchi,Bern-Mittelland,93235.2122942321,80106,0,46248,785
Münchenbuchsee,Bern-Mittelland,-510970.935269738,0,0,0,115565
Münchringen,Bern-Mittelland,81282.4448314396,0,0,4753,2267
Ruppoldsried,Seeland,70845.5068672631,33357,0,3217,613
Schalunen,Bern-Mittelland,104562.333113975,49988,0,0,3492
Scheunen,Bern-Mittelland,35283.516483338,32742,0,32046,230
Urtenen-Schönbühl,Bern-Mittelland,41497.7494157924,0,0,0,82432
Utzenstorf,Emmental,437373.99559762,0,0,0,39497
Wiggiswil,Bern-Mittelland,9783.35965897338,0,0,28901,700
Wiler b.U.,Emmental,72226.9287164891,0,0,13404,6328
Zauggenried,Bern-Mittelland,62485.3488387743,0,0,38889,1718
Zielebach,Emmental,75556.3703557802,17964,0,14158,2050
Zuzwil,Bern-Mittelland,25363.6328106017,0,0,6267,2784
Arni,Bern-Mittelland,367673.639141345,304624,0,95552,5986
Biglen,Bern-Mittelland,418022.280834639,130218,0,0,14394
Bleiken b.O.,Bern-Mittelland,162146.16374816,148708,0,26534,1302
Bowil,Bern-Mittelland,500340.000617481,388236,0,90696,6672
Brenzikofen,Bern-Mittelland,162346.699541148,96507,0,0,2350
Freimettigen,Bern-Mittelland,102690.141759812,31900,0,825,2328
Grosshöchstetten,Bern-Mittelland,33793.8808600167,0,0,0,27169
Häutligen,Bern-Mittelland,43054.5823832058,0,0,10285,1079
Herbligen,Bern-Mittelland,160838.154194946,91138,0,3238,2825
Kiesen,Bern-Mittelland,17550.6668559435,0,0,21081,3857
Konolfingen,Bern-Mittelland,319298.187604951,0,0,0,40559
Landiswil,Bern-Mittelland,324306.278897029,339227,0,127089,4209
Linden,Bern-Mittelland,544670.018424972,482090,0,104230,10534
Mirchel,Bern-Mittelland,103312.500736414,0,0,5272,1840
Münsingen,Bern-Mittelland,-852743.550136017,0,0,0,105967
Niederhünigen,Bern-Mittelland,191564.272537055,108166,0,60500,3257
Oberdiessbach,Bern-Mittelland,402676.837908002,0,0,0,18468
Oberthal,Bern-Mittelland,326556.025884192,291076,0,109126,3827
Oppligen,Bern-Mittelland,98254.8298903824,0,0,0,3224
Rubigen,Bern-Mittelland,-72537.4368929094,0,0,0,20341
Wichtrach,Bern-Mittelland,401291.546248972,0,0,0,27012
Tägertschi,Bern-Mittelland,72467.2391735206,0,0,6220,1725
Walkringen,Bern-Mittelland,525091.77844328,276452,0,77148,12757
Worb,Bern-Mittelland,253991.669328701,0,0,0,139263
Zäziwil,Bern-Mittelland,430773.033480163,201782,0,0,11928
Oberhünigen,Bern-Mittelland,136888.131474975,122506,0,78583,1775
Schlosswil,Bern-Mittelland,97505.7854356301,0,0,0,2209
Allmendingen,Bern-Mittelland,-100285.536784156,0,0,7744,3820
Trimstein,Bern-Mittelland,94002.8555566146,0,0,48561,1850
Clavaleyres,Bern-Mittelland,26296.2757313156,25937,0,13068,162
Ferenbalm,Bern-Mittelland,228145.524455002,0,0,95293,8077
Frauenkappelen,Bern-Mittelland,-148568.967815086,0,0,5690,6995
Golaten,Bern-Mittelland,79520.4501068685,33900,0,24842,1083
Gurbrü,Bern-Mittelland,70378.3232809868,33906,0,30761,1797
Kriechenwil,Bern-Mittelland,81930.6012651852,2826,0,60704,2300
Laupen,Bern-Mittelland,187440.000962348,0,0,0,30742
Mühleberg,Bern-Mittelland,-758058.653875438,0,0,367101,17044
Münchenwiler,Bern-Mittelland,17881.1086959928,0,0,9173,3706
Neuenegg,Bern-Mittelland,196814.023952829,0,0,44321,45199
Wileroltigen,Bern-Mittelland,137116.979369718,101274,0,68531,3269
Guggisberg,Bern-Mittelland,786646.841737441,804144,0,671319,12396
Rüschegg,Bern-Mittelland,591994.478942041,439100,0,525785,12474
Schwarzenburg,Bern-Mittelland,1524645.91548963,350145,0,1261,47118
Belp,Bern-Mittelland,-498199.753831713,0,0,0,107394
Burgistein,Thun,293410.75488622,151961,0,32008,6037
Gelterfingen,Bern-Mittelland,56264.8105245938,13796,0,12916,2002
Gerzensee,Bern-Mittelland,-142477.297076903,0,0,13102,8081
Gurzelen,Thun,294377.421262988,235277,0,20592,3747
Jaberg,Bern-Mittelland,50635.9150349296,0,0,0,957
Kaufdorf,Bern-Mittelland,163370.573942428,0,0,0,6830
Kehrsatz,Bern-Mittelland,-62222.868178951,0,0,0,51778
Kienersrüti,Thun,20652.6023535731,18025,0,11191,0
Kirchdorf,Bern-Mittelland,82846.2135364256,0,0,4307,4340
Kirchenthurnen,Bern-Mittelland,66372.3512434679,22156,0,0,2753
Lohnstorf,Bern-Mittelland,49276.2314956104,7386,0,9227,805
Mühledorf,Bern-Mittelland,-82302.4982488462,0,0,4653,1146
Mühlethurnen,Bern-Mittelland,159507.136796026,0,0,0,8108
Niedermuhlern,Bern-Mittelland,186532.883291245,145531,0,38640,1941
Noflen,Bern-Mittelland,85443.5766648334,62246,0,20761,1485
Riggisberg,Bern-Mittelland,371814.159978734,0,0,161304,14575
Rüeggisberg,Bern-Mittelland,662581.34938145,502825,0,416829,13485
Rümligen,Bern-Mittelland,93238.1192000848,5499,0,21832,2466
Seftigen,Thun,275024.15821076,0,0,0,15057
Toffen,Bern-Mittelland,99374.8124291416,0,0,0,20013
Uttigen,Thun,243390.116114933,0,0,0,10310
Wattenwil,Thun,764093.279543976,392457,0,0,17893
Wald,Bern-Mittelland,183233.513341211,0,0,116027,5792
Bern,Bern-Mittelland,-42014791.9383435,0,63254000,0,2313426
Aarwangen,Oberaargau,474758.80514189,0,0,0,50172
Auswil,Oberaargau,159689.634104398,118198,0,58702,2722
Bannwil,Oberaargau,95869.2007344949,0,0,22613,5203
Bleienbach,Oberaargau,-130273.710709125,0,0,17189,2944
Busswil b.M.,Oberaargau,57000.6771304904,30621,0,39228,758
Gondiswil,Oberaargau,257590.266283963,194149,0,89228,3023
Langenthal,Oberaargau,1419648.77021729,0,0,0,233998
Lotzwil,Oberaargau,420943.224710928,0,0,0,33220
Madiswil,Oberaargau,416285.860622184,0,0,91885,17769
Melchnau,Oberaargau,370010.573214432,112325,0,0,15496
Obersteckholz,Oberaargau,113678.801767722,57668,0,47246,3026
Oeschenbach,Oberaargau,77128.3087934672,47976,0,21950,2113
Reisiswil,Oberaargau,67788.7954358311,50559,0,26537,1803
Roggwil,Oberaargau,1039155.84797965,470829,0,0,47429
Rohrbach,Oberaargau,377497.911560427,160028,0,0,13943
Rohrbachgraben,Oberaargau,221308.327763393,232527,0,89026,1847
Rütschelen,Oberaargau,175948.777968272,109921,0,9353,2966
Schwarzhäusern,Oberaargau,104554.30155812,15357,0,33869,2827
Thunstetten,Oberaargau,474269.379234218,0,0,12114,42255
Ursenbach,Oberaargau,341235.286522004,269578,0,30752,4705
Wynau,Oberaargau,228694.400811492,0,0,0,23831
Aefligen,Emmental,144219.955159287,0,0,0,7682
Alchenstorf,Emmental,133092.35244729,37285,0,49144,1939
Bäriswil,Bern-Mittelland,16991.9557694274,0,0,0,5231
Burgdorf,Emmental,1931721.68446631,0,0,0,235156
Ersigen,Emmental,174220.170647782,0,0,30264,8658
Hasle b.B.,Emmental,698436.514330456,134463,0,42632,26294
Heimiswil,Emmental,517297.860838446,331743,0,289741,12926
Hellsau,Emmental,23737.2219271186,0,0,1458,548
Hindelbank,Emmental,139067.633717802,0,0,0,20608
Höchstetten,Emmental,69651.7002745646,31773,0,6317,2245
Kernenried,Emmental,94700.9181229907,13031,0,34329,3559
Kirchberg,Emmental,61943.4018210708,0,0,0,65049
Koppigen,Emmental,365835.938581778,0,0,0,19704
Krauchthal,Emmental,392103.226131912,0,0,110235,14362
Lyssach,Emmental,-612622.838173976,0,0,0,10990
Mötschwil,Emmental,29572.6038214406,3301,0,53745,2354
Niederösch,Emmental,70807.4150482242,40686,0,56279,136
Oberburg,Emmental,801654.912446252,399838,0,0,45721
Oberösch,Emmental,33294.7301972026,18377,0,20419,623
Rüdtligen-Alchenflüh,Emmental,342609.45995507,0,0,0,45522
Rumendingen,Emmental,-1150.27854258437,0,0,64294,318
Rüti b.L.,Emmental,31918.1766501216,0,0,3286,1102
Willadingen,Emmental,28014.4971798292,0,0,17243,916
Wynigen,Emmental,623901.899378192,384872,0,414265,13346
Eggiwil,Emmental,1099621.016018,1043751,0,926027,14937
Langnau i.E.,Emmental,1609248.60720387,0,0,347554,82713
Lauperswil,Emmental,790422.392351164,444794,0,271281,22164
Röthenbach i.E.,Emmental,650117.924114929,679449,0,467550,9552
Rüderswil,Emmental,821178.558514329,594517,0,154949,15507
Schangnau,Emmental,451726.82436774,457600,0,503835,5373
Signau,Emmental,1000626.39778688,776718,0,153779,21902
Trub,Emmental,736429.340702752,779471,0,971954,7737
Trubschachen,Emmental,417246.028955024,237342,0,261440,14812
Affoltern i.E.,Emmental,388965.292999113,278140,0,94791,9723
Dürrenroth,Emmental,441840.811848566,392370,0,218132,5116
Eriswil,Oberaargau,597643.56062734,556716,0,95791,10618
Huttwil,Oberaargau,770099.731723906,0,0,0,47264
Lützelflüh,Emmental,1311767.36833898,856136,0,48867,36100
Rüegsau,Emmental,422334.825720691,0,0,92220,21714
Sumiswald,Emmental,1638742.6794248,1089558,0,379834,47142
Trachselwald,Emmental,445465.639537623,415907,0,227376,7467
Walterswil,Oberaargau,229221.643753554,206903,0,82416,1918
Wyssachen,Oberaargau,426913.511549889,332336,0,74839,7408
Attiswil,Oberaargau,295703.445783756,62095,0,70121,12942
Berken,Oberaargau,-3613.84599936803,0,0,16603,129
Bettenhausen,Oberaargau,206082.843686874,118995,0,0,4698
Farnern,Oberaargau,46284.595677135,10582,0,67002,1502
Graben,Oberaargau,81525.4659302082,40003,0,56067,2205
Heimenhausen,Oberaargau,268837.194390631,120314,0,21368,5987
Hermiswil,Oberaargau,26608.2218571297,13265,0,2854,707
Herzogenbuchsee,Oberaargau,619146.924560661,0,0,0,96589
Inkwil,Oberaargau,124977.031064117,0,0,0,4448
Niederbipp,Oberaargau,54175.4445521034,0,0,48539,61823
Niederönz,Oberaargau,418090.695239683,192959,0,0,11625
Oberbipp,Oberaargau,30342.8521552284,0,0,57748,15670
Ochlenberg,Oberaargau,236439.984635523,202277,0,230960,2357
Rumisberg,Oberaargau,79664.2188710384,0,0,75059,3210
Seeberg,Oberaargau,387887.518624416,196875,0,181553,8535
Thörigen,Oberaargau,232943.683355216,52364,0,0,8709
Walliswil b.N.,Oberaargau,37206.8833118336,0,0,12230,1522
Walliswil b.W.,Oberaargau,155128.220158684,69540,0,4692,5343
Wangen a.A.,Oberaargau,-29105.9171525733,0,0,0,21854
Wangenried,Oberaargau,101897.357468,39288,0,12828,2506
Wiedlisbach,Oberaargau,159624.309722288,0,0,416,27503
Wolfisberg,Oberaargau,39692.4083909904,1038,0,43236,1161
Aarberg,Seeland,76657.8331867179,0,0,0,36007
Bargen,Seeland,206107.677703835,15969,0,8313,6095
Grossaffoltern,Seeland,561110.127372872,9083,0,43769,14837
Kallnach,Seeland,234112.999228351,0,0,70089,10213
Kappelen,Seeland,104759.843488245,0,0,64364,6130
Lyss,Seeland,-2106.71455988911,0,0,0,169321
Meikirch,Bern-Mittelland,42685.699801999,0,0,0,15900
Niederried b.K.,Seeland,55512.1147970867,0,0,83826,724
Radelfingen,Seeland,173913.711470592,0,0,195207,5223
Rapperswil,Seeland,86213.1392769602,0,0,148723,10737
Schüpfen,Seeland,388920.09558462,0,0,109622,22752
Seedorf,Seeland,521449.049260895,0,0,140516,15967
Biel,Biel/Bienne,1514458.77226476,0,18595000,0,1201482
Evilard,Biel/Bienne,-1520738.728563,0,0,0,18915
Arch,Seeland,313963.948766725,17231,0,0,11044
Büetigen,Seeland,139233.846398048,0,0,0,5395
Büren a.A.,Seeland,168779.086263872,0,0,0,34689
